route_id,direction_id,stop_sequence,trip_id,stop_id,departure_time,traversal_time_sec,stop_lat,stop_lon,lat_prev,lon_prev,length_m
1,1,99,10775020,12708,21436.0,20.0,40.495638,-79.938347,40.495318,-79.937477,81.71981003333923
1,1,100,10775020,12710,21517.0,81.0,40.496703,-79.942578,40.495638,-79.938347,376.85590635749804
1,1,101,10775020,12711,21540.0,23.0,40.496504,-79.943842,40.496703,-79.942578,109.14747111318015
1,1,102,10775020,3369,21570.0,30.0,40.495332,-79.945575,40.496504,-79.943842,196.1056617141645
1,1,103,10775020,3370,21593.0,23.0,40.494532,-79.946454,40.495332,-79.945575,115.92170626194093
1,1,104,10775020,3371,21624.0,31.0,40.493606,-79.947985,40.494532,-79.946454,165.416816153501
1,1,105,10775020,20674,22020.0,396.0,40.478296,-79.96892,40.493606,-79.947985,2456.1781884946245
1,1,106,10775020,20781,22320.0,300.0,40.46491,-79.979896,40.478296,-79.96892,1754.288025612924
1,1,107,10775020,18354,22560.0,240.0,40.454574,-79.995279,40.46491,-79.979896,1736.2980037411323
1,1,108,10775020,1997,22618.0,58.0,40.453857,-79.998947,40.454574,-79.995279,320.43040398398705
1,1,109,10775020,1998,22647.0,29.0,40.453559,-80.000497,40.453857,-79.998947,135.26953237827829
1,1,110,10775020,175,22734.0,87.0,40.451587,-80.001206,40.453559,-80.000497,227.3349083033668
1,1,111,10775020,21329,22818.0,84.0,40.45004,-80.002796,40.451587,-80.001206,218.3828206273212
1,1,112,10775020,21330,22909.0,91.0,40.44873,-80.002382,40.45004,-80.002796,149.81876307365226
1,1,113,10775020,12626,23040.0,131.0,40.44294,-80.000191,40.44873,-80.002382,669.9843134344693
1,1,114,10775020,15283,23107.0,67.0,40.442835,-79.998105,40.44294,-80.000191,176.91415800786993
1,1,115,10775020,15284,23153.0,46.0,40.443186,-79.996792,40.442835,-79.998105,117.76829578793915
1,1,116,10775020,15285,23198.0,45.0,40.443544,-79.99539,40.443186,-79.996792,125.14406806774447
1,1,117,10775020,5560,23340.0,142.0,40.443896,-79.992074,40.443544,-79.99539,283.330739830876
11,0,2,10117020,1407,20400.0,,40.444022,-79.992052,40.443896,-79.992074,14.133732639783492
11,0,3,10117020,1408,20533.0,133.0,40.443417,-79.996451,40.444022,-79.992052,378.29205210360277
11,0,4,10117020,180,20640.0,107.0,40.442537,-79.999766,40.443417,-79.996451,297.1085988675158
11,0,5,10117020,213,20680.0,40.0,40.444445,-80.000735,40.442537,-79.999766,227.4558414575589
11,0,6,10117020,214,20727.0,47.0,40.447846,-80.001964,40.444445,-80.000735,392.2140173443478
11,0,7,10117020,215,20777.0,50.0,40.450321,-80.002776,40.447846,-80.001964,283.6553174830505
11,0,8,10117020,944,20820.0,43.0,40.45153,-80.001041,40.450321,-80.002776,199.06066654512148
11,0,9,10117020,19329,20856.0,36.0,40.452968,-80.001504,40.45153,-80.001041,164.62777761663827
11,0,10,10117020,2596,20892.0,36.0,40.45478,-80.002098,40.452968,-80.001504,207.65932327975304
11,0,11,10117020,18636,20946.0,54.0,40.456043,-80.003929,40.45478,-80.002098,209.10158240193385
11,0,12,10117020,873,20991.0,45.0,40.455887,-80.0067,40.456043,-80.003929,235.09204379075655
11,0,13,10117020,19577,21020.0,29.0,40.457232,-80.007126,40.455887,-80.0067,153.8392495350269
11,0,14,10117020,875,21054.0,34.0,40.458763,-80.007621,40.457232,-80.007126,175.31540596021568
11,0,15,10117020,983,21077.0,23.0,40.459033,-80.006879,40.458763,-80.007621,69.58677188951037
11,0,16,10117020,984,21109.0,32.0,40.459227,-80.005647,40.459033,-80.006879,106.44205539182464
11,0,17,10117020,985,21179.0,70.0,40.459598,-80.0026,40.459227,-80.005647,261.0699955602535
11,0,18,10117020,986,21210.0,31.0,40.460253,-80.001676,40.459598,-80.0026,106.84469011508973
11,0,19,10117020,967,21240.0,30.0,40.461295,-80.001613,40.460253,-80.001676,115.98780597788296
11,0,20,10117020,968,21255.0,15.0,40.460938,-80.00268,40.461295,-80.001613,98.61355256754297
11,0,21,10117020,969,21274.0,19.0,40.460631,-80.004087,40.460938,-80.00268,123.83430040813643
11,0,22,10117020,16899,21282.0,8.0,40.460641,-80.00473,40.460631,-80.004087,54.411091720822775
11,0,23,10117020,970,21300.0,18.0,40.46192,-80.005492,40.460641,-80.00473,156.147629239327
11,0,24,10117020,971,21309.0,9.0,40.46247,-80.005679,40.46192,-80.005492,63.17040222509382
11,0,25,10117020,972,21321.0,12.0,40.46355,-80.006014,40.46247,-80.005679,123.38957162873443
11,0,26,10117020,973,21330.0,9.0,40.463748,-80.005344,40.46355,-80.006014,60.80724103751444
11,0,27,10117020,22893,21350.0,20.0,40.464847,-80.0056,40.463748,-80.005344,124.10763072235703
11,0,28,10117020,976,21425.0,75.0,40.466885,-80.00507,40.464847,-80.0056,231.0084351670517
11,0,29,10117020,977,21442.0,17.0,40.46729,-80.005838,40.466885,-80.00507,79.05071242750017
